"","Cluster","Klebsiella pneumoniae Ecl8","Klebsiella pneumoniae RH201207","Citrobacter rodentium ICC168","Salmonella Typhimurium SL1344","Salmonella Typhimurium SL3261","Salmonella Typhimurium D23580","Salmonella Typhimurium A130","Salmonella Enteritidis P125109","Salmonella Typhi Ty2","Escherichia coli ST131 EC958","Escherichia coli ST131 NCTC 13441","Escherichia coli BW25113","Escherichia coli BW25113 (EcoGene)"
"2127","Clust2126",0,0,0,0,0,0,0,0,0,0,0,1,0
"2129","Clust2128",0,0,0,0,0,0,0,0,0,0,0,1,0
"2130","Clust2129",0,0,0,0,0,0,0,0,0,0,0,1,0
"2141","Clust2140",0,0,0,0,0,0,0,0,0,0,0,1,0
"2164","Clust2163",0,0,0,0,0,0,0,0,0,1,0,0,0
"2217","Clust2216",0,0,0,0,0,0,0,0,0,1,0,0,0
"2226","Clust2225",0,0,0,0,0,0,0,0,0,1,0,0,0
"2252","Clust2251",0,0,0,0,0,0,0,0,0,0,0,0,1
"2260","Clust2259",0,0,0,0,0,0,0,0,0,1,0,0,0
"2267","Clust2266",0,0,0,0,0,0,0,0,0,0,0,1,0
"2288","Clust2287",0,0,0,0,0,0,0,0,0,0,0,0,1
"2304","Clust2303",0,0,0,0,0,0,0,0,0,1,0,1,0
"2308","Clust2307",0,0,0,0,0,0,0,0,0,0,1,1,0
"2313","Clust2312",0,0,0,0,0,0,0,0,0,0,0,0,1
"2328","Clust2327",0,0,0,0,0,0,0,0,0,1,0,1,0
"2329","Clust2328",0,0,0,0,0,0,0,0,0,0,0,1,0
"2331","Clust2330",0,0,0,0,0,0,0,0,0,0,1,0,0
"2362","Clust2361",0,0,0,0,0,0,0,0,0,0,0,0,1
"2371","Clust2370",0,0,0,0,0,0,0,0,1,0,0,0,0
"2373","Clust2372",0,0,0,0,0,0,0,0,1,0,0,0,0
"2374","Clust2373",0,0,0,0,0,0,0,0,1,0,0,0,0
"2418","Clust2417",0,0,0,0,0,1,0,0,0,0,0,0,0
"2424","Clust2423",0,0,0,0,0,1,0,0,0,0,0,0,0
"2437","Clust2436",0,0,0,1,1,0,0,0,0,0,0,0,0
"2441","Clust2440",0,0,0,1,0,0,0,0,0,0,0,0,0
"2452","Clust2451",0,0,0,1,0,0,0,0,0,0,0,0,0
"2464","Clust2463",0,0,0,1,0,0,0,0,0,0,0,0,0
"2465","Clust2464",0,0,0,0,1,0,0,0,0,0,0,0,0
"2467","Clust2466",0,0,0,1,0,0,0,0,0,0,0,0,0
"2479","Clust2478",0,0,0,1,0,0,0,0,0,0,0,0,0
"2482","Clust2481",0,0,0,1,0,0,0,0,0,0,0,0,0
"2495","Clust2494",0,0,0,1,1,0,0,0,0,0,0,0,0
"2498","Clust2497",0,0,0,1,0,0,0,0,0,0,0,0,0
"2510","Clust2509",0,0,0,1,0,1,0,0,0,0,0,0,0
"2512","Clust2511",0,0,0,1,0,0,0,0,0,0,0,0,0
"2536","Clust2535",0,0,0,1,1,1,1,0,0,0,0,0,0
"2558","Clust2557",0,0,0,1,1,0,0,0,0,0,0,0,0
"2562","Clust2561",0,0,0,0,0,1,0,0,0,0,0,0,0
"2574","Clust2573",0,0,0,1,0,0,0,0,0,0,0,0,0
"2576","Clust2575",0,0,0,0,1,1,0,0,0,0,0,0,0
"2601","Clust2600",0,0,0,1,0,0,0,0,0,0,0,0,0
"2626","Clust2625",0,0,0,0,0,0,1,0,0,0,0,0,0
"2697","Clust2696",0,0,0,1,0,0,0,0,0,0,0,0,0
"2706","Clust2705",0,0,0,1,1,0,0,0,0,0,0,0,0
"2719","Clust2718",0,0,0,0,1,0,0,0,0,0,0,0,0
"2733","Clust2732",0,0,0,1,1,0,0,0,0,0,0,0,0
"2739","Clust2738",0,0,0,1,1,0,0,0,0,0,0,0,0
"2751","Clust2750",0,0,0,0,1,0,0,0,0,0,0,0,0
"2778","Clust2777",0,0,0,1,0,0,0,0,0,0,0,0,0
"2861","Clust2860",0,0,0,1,1,1,0,0,1,0,0,0,0
"2879","Clust2878",0,0,0,0,1,0,0,0,0,0,0,0,0
"2882","Clust2881",0,0,0,1,1,1,0,0,0,0,0,0,0
"2925","Clust2924",0,0,0,0,1,0,0,0,0,0,0,0,0
"2931","Clust2930",0,0,0,1,0,0,0,0,0,0,0,0,0
"2936","Clust2935",0,0,0,0,0,0,0,0,1,0,0,0,0
"2939","Clust2938",0,0,0,0,0,0,1,0,0,0,0,0,0
"2941","Clust2940",0,0,0,0,1,0,0,0,0,0,0,0,0
"2943","Clust2942",0,0,0,1,0,0,0,0,0,0,0,0,0
"2946","Clust2945",0,0,0,0,0,0,1,0,0,0,0,0,0
"2951","Clust2950",0,0,0,1,0,0,0,0,0,0,0,0,0
"2995","Clust2994",0,0,0,1,1,1,0,0,0,0,0,0,0
"3033","Clust3032",0,0,0,1,1,1,0,0,0,0,0,0,0
"3048","Clust3047",0,0,0,1,0,0,0,0,0,0,0,0,0
"3069","Clust3068",0,0,0,1,0,0,0,0,0,0,0,0,0
"3097","Clust3096",0,0,0,1,1,0,0,0,0,0,0,0,0
"3204","Clust3203",0,0,0,0,0,0,0,0,0,0,0,0,1
"3222","Clust3221",0,0,0,0,0,0,0,0,0,0,0,0,1
"3379","Clust3378",0,0,0,0,0,0,0,0,0,0,0,1,0
"3386","Clust3385",0,0,0,0,0,0,1,0,0,0,0,0,0
"3403","Clust3402",0,0,0,0,0,0,0,0,0,1,0,0,0
"3529","Clust3528",0,0,0,0,0,0,0,0,0,0,0,1,0
"3583","Clust3582",0,0,0,0,0,0,0,0,0,0,0,0,1
"3590","Clust3589",0,0,0,0,0,0,0,0,0,1,0,0,0
"3592","Clust3591",0,0,0,0,0,0,0,0,0,0,0,1,0
